date;categoryName;payee;comment;outcomeAccountName;outcome;outcomeCurrencyShortTitle;incomeAccountName;income;incomeCurrencyShortTitle;createdDate;changedDate;qrCode
2022-03-29;"Подорожі / Кафе і ресторани";"Glovo";;"Monobank";"476";UAH;"Monobank";"0";UAH;"2022-03-29 14:35:39";"2022-03-30 10:48:09";
2022-03-29;"Подорожі / Кафе і ресторани";"CoffeeLab";;"Monobank";"84";UAH;"Monobank";"0";UAH;"2022-03-29 12:18:18";"2022-03-29 12:28:59";
2022-03-29;"Різне / Благодійність";;;"Monobank";"3000";UAH;"Monobank";"0";UAH;"2022-03-29 09:51:37";"2022-03-29 11:46:55";
2022-03-28;;;;"Monobank";"3000";UAH;"Other crypto";"3000";UAH;"2022-03-28 19:15:17";"2022-03-29 21:06:11";
2022-03-28;"Подорожі / Кафе і ресторани";"Кебаб Шеф";;"Monobank";"85";UAH;"Monobank";"0";UAH;"2022-03-28 14:17:34";"2022-03-30 10:48:09";
2022-03-28;"Подорожі / Кафе і ресторани";"Sowá Cafe";;"Monobank";"110";UAH;"Monobank";"0";UAH;"2022-03-28 12:53:45";"2022-03-29 11:46:19";
2022-03-28;"Різне / Подарунки";"ZOLOTYI VIK";;"Monobank";"2607";UAH;"Monobank";"0";UAH;"2022-03-28 10:54:10";"2022-03-29 21:06:11";
2022-03-28;"Подорожі / Кафе і ресторани";"SDV Coffee";;"Monobank";"35";UAH;"Monobank";"0";UAH;"2022-03-28 11:01:55";"2022-03-29 11:46:19";
2022-03-27;"Подорожі / Кафе і ресторани";"Glovo";;"Monobank";"447";UAH;"Monobank";"0";UAH;"2022-03-27 14:51:07";"2022-03-28 18:31:58";
2022-03-27;"Одяг та догляд / Одяг";"Djuna";;"Monobank";"273";UAH;"Monobank";"0";UAH;"2022-03-27 14:18:31";"2022-03-28 18:31:58";
2022-03-27;"Подорожі / Кафе і ресторани";"SDV Coffee";;"Monobank";"136";UAH;"Monobank";"0";UAH;"2022-03-27 12:55:52";"2022-03-28 18:31:58";
2022-03-26;"Подорожі / Кафе і ресторани";"LYuLYaKAVKAZKAKUHNYa1";;"Monobank";"207.7";UAH;"Monobank";"0";UAH;"2022-03-26 16:09:43";"2022-03-27 10:56:25";
2022-03-26;"Різне / Подарунки";"ZOLOTYI VIK";"Цепочка на др";"Monobank";"3514";UAH;"Monobank";"0";UAH;"2022-03-26 13:59:16";"2022-03-27 16:30:48";
2022-03-26;"Подорожі / Кафе і ресторани";"Мапа / Mapa (Мапа)";;"Monobank";"60";UAH;"Monobank";"0";UAH;"2022-03-26 12:43:24";"2022-03-27 13:15:42";
2022-03-26;"Відпочинок та розваги / Кіно";"Андрій Зайцев";;"Monobank";"100";UAH;"Monobank";"0";UAH;"2022-03-26 10:29:14";"2022-03-26 11:51:14";
2022-03-26;"Підписки / Google";"Google";;"Monobank";"45";UAH;"Monobank";"0";UAH;"2022-03-26 10:22:52";"2022-03-27 22:06:32";
2022-03-25;"Зарплата";"Дарія Глуговська";"Хто шо написав?";"Monobank";"0";UAH;"Monobank";"1";UAH;"2022-03-25 21:54:31";"2022-03-25 22:12:31";
2022-03-25;"Різне / Благодійність";;"Допомога тьоті Валі ";"Monobank";"6000";UAH;"Monobank";"0";UAH;"2022-03-25 12:10:20";"2022-03-26 15:45:52";
2022-03-24;"Різне / Благодійність";"Владислав С.";;"Monobank";"500";UAH;"Monobank";"0";UAH;"2022-03-24 20:45:51";"2022-03-26 15:45:52";
2022-03-24;"Різне / Благодійність";;"Допомога родичам";"Monobank";"5000";UAH;"Monobank";"0";UAH;"2022-03-24 18:01:37";"2022-03-26 15:45:52";
2022-03-24;"Подорожі / Кафе і ресторани";"CoffeeLab";;"Monobank";"84";UAH;"Monobank";"0";UAH;"2022-03-24 12:18:31";"2022-03-25 12:21:15";
2022-03-23;"Подорожі / Кафе і ресторани";"Роман Д.";;"Monobank";"164";UAH;"Monobank";"0";UAH;"2022-03-23 14:52:35";"2022-03-23 15:05:08";
2022-03-23;"Подорожі / Кафе і ресторани";"Мапа / Mapa (Мапа)";;"Monobank";"120";UAH;"Monobank";"0";UAH;"2022-03-23 11:42:53";"2022-03-24 10:39:39";
2022-03-22;"Подорожі / Продукти";"Близенько";;"Monobank";"58.99";UAH;"Monobank";"0";UAH;"2022-03-22 17:40:11";"2022-03-24 17:21:40";
2022-03-22;"Подорожі / Продукти";"Roshen";;"Monobank";"103.65";UAH;"Monobank";"0";UAH;"2022-03-22 17:21:22";"2022-03-24 17:21:40";
2022-03-22;;;;"УкрСиббанк";"50771.73";UAH;"Monobank";"50771.73";UAH;"2022-03-22 16:34:34";"2022-03-22 17:00:29";
2022-03-22;"Подорожі / Кафе і ресторани";"Кебаб Шеф";;"Monobank";"85";UAH;"Monobank";"0";UAH;"2022-03-22 16:40:12";"2022-03-24 10:39:39";
2022-03-22;"Зарплата";"Дарія Глуговська";;"Monobank";"0";UAH;"Monobank";"0.03";UAH;"2022-03-22 15:39:03";"2022-03-22 15:41:15";
2022-03-22;"Подорожі / Кафе і ресторани";"Sowá Cafe";;"Monobank";"420";UAH;"Monobank";"0";UAH;"2022-03-22 15:28:06";"2022-03-23 15:04:42";
2022-03-21;"Подорожі / Кафе і ресторани";"Хінкальня / Khinkalnya";;"Monobank";"367";UAH;"Monobank";"0";UAH;"2022-03-21 16:17:53";"2022-03-24 17:21:40";
2022-03-21;"Різне / Благодійність";"Підтримка армії (єдиний рахунок)";;"Monobank";"2000";UAH;"Monobank";"0";UAH;"2022-03-21 14:12:26";"2022-03-21 14:56:57";
2022-03-21;"Квартира / Комуналка";;;"Monobank";"2400";UAH;"Monobank";"0";UAH;"2022-03-21 12:23:06";"2022-03-21 14:56:57";
2022-03-21;"Подорожі / Кафе і ресторани";"SDV Coffee";;"Monobank";"98";UAH;"Monobank";"0";UAH;"2022-03-21 10:56:22";"2022-03-22 15:40:40";
